               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.050144,            0.018673,            0.033363,             0.93004,               0.125,             0.15004,              0.0329,            0.041332,            0.011081,            0.024326,            0.008416,            0.008416,            0.008416
                  50,            0.047385,            0.017169,            0.036701,             0.15767,              0.4224,             0.18213,            0.053644,            0.039125,            0.012081,            0.024738,            0.008383,            0.008383,            0.008383
                  51,            0.043462,            0.016189,            0.032896,             0.16357,             0.47449,             0.22239,            0.062443,             0.03703,             0.01046,            0.024646,             0.00835,             0.00835,             0.00835
                  52,            0.048718,            0.017921,            0.030271,             0.19786,             0.58445,              0.3727,              0.0921,            0.039165,           0.0094685,            0.022348,            0.008317,            0.008317,            0.008317
                  53,             0.04727,            0.016963,            0.030034,             0.24699,             0.62033,             0.50006,             0.19418,            0.032724,           0.0086345,            0.020549,            0.008284,            0.008284,            0.008284
                  54,            0.049097,            0.016831,            0.028024,             0.19927,             0.49792,             0.39338,             0.12889,            0.039693,           0.0075205,            0.017619,            0.008251,            0.008251,            0.008251
                  55,            0.047551,            0.017787,            0.026672,             0.42822,             0.74523,             0.66256,             0.29145,            0.027699,           0.0088439,            0.016219,            0.008218,            0.008218,            0.008218
                  56,            0.048124,             0.01636,            0.027502,             0.39737,             0.77251,             0.77848,             0.32546,            0.030828,           0.0069382,            0.016603,            0.008185,            0.008185,            0.008185
                  57,            0.048171,            0.016558,            0.026845,             0.32967,             0.54167,             0.60722,             0.25155,            0.031742,            0.014086,            0.017766,            0.008152,            0.008152,            0.008152
                  58,             0.04337,            0.015591,             0.02634,             0.99117,             0.16667,               0.187,            0.056175,            0.047685,            0.016196,            0.020032,            0.008119,            0.008119,            0.008119
                  59,            0.046442,            0.016477,             0.03159,             0.54794,             0.66926,             0.75578,             0.30176,            0.030281,            0.012347,            0.015614,            0.008086,            0.008086,            0.008086
                  60,            0.047455,            0.015757,            0.028439,             0.46723,             0.80056,              0.7455,             0.34616,            0.031061,            0.018569,            0.018398,            0.008053,            0.008053,            0.008053
